"Module"	"Genome"	"Pathwayperc"
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	"BJP1.genes.Module.step.presence"	0
"Glycolysis, core module involving three-carbon compounds"	"BJP1.genes.Module.step.presence"	0
"Gluconeogenesis, oxaloacetate => fructose-6P"	"BJP1.genes.Module.step.presence"	0
"Pentose phosphate pathway (Pentose phosphate cycle)"	"BJP1.genes.Module.step.presence"	0
"PRPP biosynthesis, ribose 5P => PRPP"	"BJP1.genes.Module.step.presence"	1
"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"	"BJP1.genes.Module.step.presence"	0
"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	"BJP1.genes.Module.step.presence"	1
"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	"BJP1.genes.Module.step.presence"	0
"Citrate cycle (TCA cycle, Krebs cycle)"	"BJP1.genes.Module.step.presence"	0
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"	"BJP1.genes.Module.step.presence"	0
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	"BJP1.genes.Module.step.presence"	0
"Glyoxylate cycle"	"BJP1.genes.Module.step.presence"	0
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"	"BJP1.genes.Module.step.presence"	0
"Glucuronate pathway (uronate pathway)"	"BJP1.genes.Module.step.presence"	0
"Proline biosynthesis, glutamate => proline"	"BJP1.genes.Module.step.presence"	0
"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"	"BJP1.genes.Module.step.presence"	0
"Methionine biosynthesis, apartate => homoserine => methionine"	"BJP1.genes.Module.step.presence"	0
"Threonine biosynthesis, aspartate => homoserine => threonine"	"BJP1.genes.Module.step.presence"	0
"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"	"BJP1.genes.Module.step.presence"	1
"Serine biosynthesis, glycerate-3P => serine"	"BJP1.genes.Module.step.presence"	0
"Cysteine biosynthesis, serine => cysteine"	"BJP1.genes.Module.step.presence"	0
"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"	"BJP1.genes.Module.step.presence"	0
"Tryptophan biosynthesis, chorismate => tryptophan"	"BJP1.genes.Module.step.presence"	0
"Phenylalanine biosynthesis, chorismate => phenylalanine"	"BJP1.genes.Module.step.presence"	0
"Tyrosine biosynthesis, chorismate => tyrosine"	"BJP1.genes.Module.step.presence"	0
"Histidine biosynthesis, PRPP => histidine"	"BJP1.genes.Module.step.presence"	0
"GABA (gamma-Aminobutyrate) shunt"	"BJP1.genes.Module.step.presence"	0
"Ornithine biosynthesis, glutamate => ornithine"	"BJP1.genes.Module.step.presence"	1
"Urea cycle"	"BJP1.genes.Module.step.presence"	0
"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	"BJP1.genes.Module.step.presence"	0
"Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"	"BJP1.genes.Module.step.presence"	0
"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"	"BJP1.genes.Module.step.presence"	0
"Ectoine biosynthesis, aspartate => ectoine"	"BJP1.genes.Module.step.presence"	0
"Methionine salvage pathway"	"BJP1.genes.Module.step.presence"	0
"Methionine degradation"	"BJP1.genes.Module.step.presence"	0
"Leucine degradation, leucine => acetoacetate + acetyl-CoA"	"BJP1.genes.Module.step.presence"	0
"Melatonin biosynthesis, tryptophan => serotonin => melatonin"	"BJP1.genes.Module.step.presence"	0
"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"	"BJP1.genes.Module.step.presence"	0
"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"	"BJP1.genes.Module.step.presence"	0
"Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine"	"BJP1.genes.Module.step.presence"	0
"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"	"BJP1.genes.Module.step.presence"	0
"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"	"BJP1.genes.Module.step.presence"	0
"Tyrosine degradation, tyrosine => homogentisate"	"BJP1.genes.Module.step.presence"	0
"Histidine degradation, histidine => N-formiminoglutamate => glutamate"	"BJP1.genes.Module.step.presence"	0
"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"	"BJP1.genes.Module.step.presence"	0
"Creatine pathway"	"BJP1.genes.Module.step.presence"	0
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP"	"BJP1.genes.Module.step.presence"	0
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP"	"BJP1.genes.Module.step.presence"	1
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP"	"BJP1.genes.Module.step.presence"	0
"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"	"BJP1.genes.Module.step.presence"	0
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"	"BJP1.genes.Module.step.presence"	1
"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP"	"BJP1.genes.Module.step.presence"	0
"N-glycan precursor biosynthesis"	"BJP1.genes.Module.step.presence"	0
"O-glycan biosynthesis, mucin type core"	"BJP1.genes.Module.step.presence"	0
"Glycosaminoglycan biosynthesis, linkage tetrasaccharide"	"BJP1.genes.Module.step.presence"	0
"Glycosaminoglycan biosynthesis, chondroitin sulfate backbone"	"BJP1.genes.Module.step.presence"	0
"Glycosaminoglycan biosynthesis, heparan sulfate backbone"	"BJP1.genes.Module.step.presence"	0
"Lipopolysaccharide biosynthesis, KDO2-lipid A"	"BJP1.genes.Module.step.presence"	0
"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P"	"BJP1.genes.Module.step.presence"	0
"CMP-KDO biosynthesis"	"BJP1.genes.Module.step.presence"	0
"ADP-L-glycero-D-manno-heptose biosynthesis"	"BJP1.genes.Module.step.presence"	0
"GPI-anchor biosynthesis, core oligosaccharide"	"BJP1.genes.Module.step.presence"	0
"Lactosylceramide biosynthesis"	"BJP1.genes.Module.step.presence"	0
"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid"	"BJP1.genes.Module.step.presence"	0
"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer"	"BJP1.genes.Module.step.presence"	0
"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3"	"BJP1.genes.Module.step.presence"	0
"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer"	"BJP1.genes.Module.step.presence"	0
"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer"	"BJP1.genes.Module.step.presence"	0
"N-glycosylation by oligosaccharyltransferase"	"BJP1.genes.Module.step.presence"	0
"N-glycan precursor trimming"	"BJP1.genes.Module.step.presence"	0
"N-glycan biosynthesis, high-mannose type"	"BJP1.genes.Module.step.presence"	0
"N-glycan biosynthesis, complex type"	"BJP1.genes.Module.step.presence"	0
"Dermatan sulfate degradation"	"BJP1.genes.Module.step.presence"	0
